/* DATA DESCRIPTION:
Citation:	Rohardt, G (2002): Physical oceanography during cruise ANT-V/3 at CTD station PS10/490-1. Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.67741,
	In: Fahrbach, Eberhard; Rohardt, Gerd (2006): Physical oceanography during POLARSTERN Leg ANT-V/3 to the eastern Weddell Sea, Southern Ocean, Antarctica. Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, doi:10.1594/PANGAEA.484628
Reference(s):	Schnack-Schiel, Sigrid B (1987): Die Winter-Expedition mit FS Polarstern in die Antarktis (ANT V/1-3) (The Winter-Expedition of RV Polarstern to the Antarctic (ANT V/1-3)). Reports on Polar Research, Alfred Wegener Institute for Polar and Marine Research, Bremerhaven, 39, 259 pp, hdl:10013/epic.10039.d001
Project(s):	Physical Oceanography @ AWI (AWI_PhyOce) (URI: http://www.awi.de/en/research/research_divisions/climate_science/observational_oceanography/)
Coverage:	WEST: 2.2383 * EAST: 2.2383 * SOUTH: -58.0933 * NORTH: -58.0933
	DATE/TIME START: 1986-10-04T00:00:00 * DATE/TIME END: 1986-10-04T09:30:00
	MINIMUM DEPTH, water: 5.0 m * MAXIMUM DEPTH, water: 1978.3 m
Event(s):	PS10/490-1 * LATITUDE: -58.0933 * LONGITUDE: 2.2383 * ELEVATION: -4950.0 m * DATE/TIME: 1986-10-04T09:30:00 * DATE/TIME 2: 1986-10-04T00:00:00 * CAMPAIGN: ANT-V/3 (PS10) (URI: hdl:10013/epic.10039.d001) * BASIS: Polarstern (URI: http://www.awi.de/en/infrastructure/ships/polarstern/) * DEVICE: Bongo net * COMMENT: Haul No: 3/Max Depth: 200 m/
Parameter(s):	DEPTH, water [m] (Depth water) * Geocode
	Pressure, water [dbar] (Press) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: CTD, Neil Brown, Mark III B, SN 1069
	Temperature, water [deg C] (Temp) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: CTD, Neil Brown, Mark III B, SN 1069 * COMMENT: ITS-90
	Conductivity [mS/cm] (Cond) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: CTD, Neil Brown, Mark III B, SN 1069
	Salinity (Sal) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: CTD, Neil Brown, Mark III B, SN 1069
	Temperature, water, potential [deg C] (Tpot) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: calculated
	Density, sigma-theta (0) [kg/m**3] (Sigma-theta) * PI: Rohardt, Gerd (URL: http://www.awi.de/People/show?rohardt, eMail: gerd.rohardt@awi.de) * METHOD: calculated
Size:	2406 data points
*/
Depth water [m]	Press [dbar]	Temp [deg C]	Cond [mS/cm]	Sal	Tpot [deg C]	Sigma-theta [kg/m**3]
1653.9	1675	-0.1040	29.4291	34.6640	-0.1865	27.8446
1658.8	1680	-0.1050	29.4311	34.6650	-0.1878	27.8456
1663.7	1685	-0.1080	29.4298	34.6640	-0.1911	27.8448
1668.6	1690	-0.1110	29.4294	34.6640	-0.1944	27.8451
1673.6	1695	-0.1110	29.4314	34.6640	-0.1947	27.8451
1678.5	1700	-0.1140	29.4309	34.6640	-0.1980	27.8452
1683.4	1705	-0.1140	29.4330	34.6640	-0.1983	27.8452
1688.3	1710	-0.1140	29.4343	34.6630	-0.1986	27.8445
1693.2	1715	-0.1190	29.4321	34.6630	-0.2039	27.8447
1698.2	1720	-0.1230	29.4315	34.6640	-0.2081	27.8457
1703.1	1725	-0.1240	29.4327	34.6640	-0.2094	27.8458
1708.0	1730	-0.1240	29.4348	34.6640	-0.2098	27.8458
1712.9	1735	-0.1250	29.4360	34.6640	-0.2111	27.8458
1717.8	1740	-0.1280	29.4347	34.6630	-0.2143	27.8453
1722.7	1745	-0.1300	29.4350	34.6630	-0.2166	27.8453
1727.7	1750	-0.1310	29.4362	34.6630	-0.2180	27.8455
1732.6	1755	-0.1320	29.4375	34.6630	-0.2193	27.8455
1737.5	1760	-0.1320	29.4395	34.6630	-0.2196	27.8455
1742.4	1765	-0.1340	29.4406	34.6640	-0.2219	27.8464
1747.3	1770	-0.1340	29.4419	34.6630	-0.2222	27.8456
1752.2	1775	-0.1340	29.4440	34.6630	-0.2225	27.8457
1757.2	1780	-0.1350	29.4451	34.6630	-0.2238	27.8457
1762.1	1785	-0.1370	29.4455	34.6630	-0.2261	27.8458
1767.0	1790	-0.1390	29.4458	34.6630	-0.2284	27.8459
1771.9	1795	-0.1430	29.4445	34.6630	-0.2327	27.8462
1776.8	1800	-0.1440	29.4457	34.6630	-0.2340	27.8462
1781.7	1805	-0.1460	29.4460	34.6630	-0.2363	27.8463
1786.6	1810	-0.1480	29.4464	34.6630	-0.2386	27.8464
1791.6	1815	-0.1490	29.4476	34.6630	-0.2399	27.8466
1796.5	1820	-0.1490	29.4496	34.6630	-0.2403	27.8466
1801.4	1825	-0.1490	29.4516	34.6630	-0.2406	27.8466
1806.3	1830	-0.1500	29.4528	34.6630	-0.2419	27.8467
1811.2	1835	-0.1490	29.4550	34.6620	-0.2413	27.8458
1816.1	1840	-0.1490	29.4578	34.6630	-0.2416	27.8466
1821.1	1845	-0.1490	29.4598	34.6630	-0.2419	27.8467
1826.0	1850	-0.1500	29.4610	34.6630	-0.2432	27.8467
1830.9	1855	-0.1510	29.4622	34.6630	-0.2445	27.8468
1835.8	1860	-0.1510	29.4634	34.6620	-0.2449	27.8459
1840.7	1865	-0.1530	29.4638	34.6620	-0.2472	27.8461
1845.6	1870	-0.1550	29.4641	34.6620	-0.2495	27.8462
1850.5	1875	-0.1560	29.4653	34.6620	-0.2508	27.8462
1855.5	1880	-0.1580	29.4656	34.6620	-0.2531	27.8464
1860.4	1885	-0.1580	29.4677	34.6620	-0.2534	27.8463
1865.3	1890	-0.1580	29.4697	34.6620	-0.2538	27.8464
1870.2	1895	-0.1590	29.4709	34.6620	-0.2551	27.8464
1875.1	1900	-0.1610	29.4712	34.6620	-0.2574	27.8466
1880.0	1905	-0.1630	29.4715	34.6620	-0.2597	27.8467
1884.9	1910	-0.1630	29.4728	34.6610	-0.2600	27.8458
1889.8	1915	-0.1650	29.4739	34.6620	-0.2623	27.8468
1894.8	1920	-0.1660	29.4751	34.6620	-0.2637	27.8469
1899.7	1925	-0.1690	29.4745	34.6620	-0.2670	27.8470
1904.6	1930	-0.1720	29.4740	34.6620	-0.2702	27.8472
1909.5	1935	-0.1740	29.4743	34.6620	-0.2726	27.8474
1914.4	1940	-0.1760	29.4747	34.6620	-0.2749	27.8474
1919.3	1945	-0.1760	29.4767	34.6620	-0.2752	27.8474
1924.2	1950	-0.1780	29.4763	34.6610	-0.2775	27.8468
1929.1	1955	-0.1790	29.4774	34.6610	-0.2788	27.8468
1934.1	1960	-0.1790	29.4795	34.6610	-0.2792	27.8469
1939.0	1965	-0.1810	29.4798	34.6610	-0.2815	27.8469
1943.9	1970	-0.1850	29.4784	34.6610	-0.2857	27.8472
1948.8	1975	-0.1860	29.4796	34.6610	-0.2871	27.8472
1953.7	1980	-0.1910	29.4773	34.6610	-0.2923	27.8475
1958.6	1985	-0.1930	29.4776	34.6610	-0.2946	27.8477
1963.5	1990	-0.1950	29.4780	34.6610	-0.2970	27.8477
1968.4	1995	-0.1950	29.4792	34.6600	-0.2973	27.8469
1973.4	2000	-0.1950	29.4820	34.6610	-0.2976	27.8478
1978.3	2005	-0.1950	29.4832	34.6600	-0.2980	27.8469
